Carimbo de data/hora,Coordenadas da Bounding Box,Nome do Bairro
22/06/2026 00:00:00,-46.685000	-23.590000	-46.665000	-23.575000,Itaim_Bibi
22/06/2026 00:00:00,-46.669884	-23.580502	-46.633996	-23.552062,Av_Paulista
22/06/2026 00:00:00,-46.690000	-23.598000	-46.670000	-23.585000,Vila_Olimpia
22/06/2026 00:00:00,-46.704205	-23.574847	-46.674487	-23.558183,Pinheiros
22/06/2026 00:00:00,-46.699949	-23.620544	-46.682294	-23.596478,Brooklin
22/06/2026 00:00:00,-46.860248	-23.505565	-46.840035	-23.490924,Alphaville_Industrial
22/06/2026 00:00:00,-46.681131339	-23.5980107441	-46.6639652013	-23.585366627,Vila_nova_Conceicao
22/06/2026 00:00:00,-46.692633	-23.596674	-46.680058	-23.581694,Inter_Zonas
21/06/2026 23:36:19,-46.653000  -23.595778  -46.652000  -23.594778,Vila Clementino
21/06/2026 23:36:30,-46.649667  -23.593278  -46.648667  -23.592278,Vila Clementino
21/06/2026 23:36:52,-46.646889  -23.593833  -46.645889  -23.592833,Vila Clementino
21/06/2026 23:38:15,-46.661333  -23.601333  -46.660333  -23.600333,Moema
21/06/2026 23:38:33,-46.661056  -23.602722  -46.660056  -23.601722,Moema
22/06/2026 00:06:33,-46.778556  -23.482167  -46.777556  -23.481167,OSASCO
22/06/2026 00:07:02,-46.781333  -23.478833  -46.780333  -23.477833,OSASCO
22/06/2026 00:07:14,-46.778556  -23.477167  -46.777556  -23.476167,OSASCO
22/06/2026 00:15:37,-46.631056  -23.485222  -46.630056  -23.484222,Santana
22/06/2026 00:16:39,-46.639944  -23.473278  -46.638944  -23.472278,Santana
22/06/2026 00:16:58,-46.619667  -23.470778  -46.618667  -23.469778,Santana
22/06/2026 00:17:14,-46.610778  -23.478833  -46.609778  -23.477833,Santana
22/06/2026 00:18:08,-46.582444  -23.465778  -46.581444  -23.464778,Santana
22/06/2026 00:18:33,-46.585778  -23.431056  -46.584778  -23.430056,Santana
22/06/2026 00:18:44,-46.581056  -23.415222  -46.580056  -23.414222,Santana
22/06/2026 00:19:29,-46.763556  -23.521056  -46.762556  -23.520056,OSASCO
22/06/2026 00:20:11,-46.772444  -23.549667  -46.771444  -23.548667,OSASCO
22/06/2026 00:21:05,-46.782444  -23.534389  -46.781444  -23.533389,OSASCO
